,SGroup,Signal,coverage_naive,coverage_split,coverage_posi,length_naive,length_split,length_posi
197,3,0.6111111111111112,,,,,,
198,3,0.6111111111111112,1.0,,,3.6183019069000686,,
199,3,0.6111111111111112,,,1.0,,,4.320755589067191
200,3,0.7222222222222222,,,0.75,,,4.432892222347625
201,3,0.7222222222222222,1.0,1.0,1.0,3.7894896478616156,5.1794540833612945,3.9621618845200697
202,3,0.7222222222222222,0.75,1.0,0.875,3.6972803640780327,5.61030976073422,3.805213183211095
203,3,0.7222222222222222,0.875,0.75,1.0,3.6189237903785263,5.322955193620874,3.8553226456731284
204,3,0.7222222222222222,1.0,,1.0,3.6796846026424666,,4.225588294840268
205,3,0.7222222222222222,1.0,,0.75,3.678670160790457,,3.579156566704002
206,3,0.7222222222222222,0.875,1.0,0.75,3.665242927926734,5.3028777207870235,3.8993275171483766
207,3,0.7222222222222222,1.0,,1.0,3.966106508239654,,4.319760256739042
208,3,0.7222222222222222,0.5,0.75,0.5,3.618470273739634,5.325042716974041,3.62762465532521
209,3,0.7222222222222222,0.75,1.0,1.0,3.7667307475622573,5.521922331273108,3.8431648857456646
210,3,0.7222222222222222,1.0,,1.0,3.7003374284688664,,3.7981637662251826
211,3,0.7222222222222222,1.0,1.0,1.0,3.55964471243702,5.199724115034613,3.9782714206956116
212,3,0.7222222222222222,0.75,,0.75,3.6398158473344906,,3.816858563037128
213,3,0.7222222222222222,1.0,1.0,1.0,3.6509434732164534,5.139115175226194,3.754101559595332
214,3,0.7222222222222222,,,1.0,,,4.720675938512618
215,3,0.7222222222222222,,,,,,
216,3,0.7222222222222222,1.0,0.75,0.875,3.742929547007229,5.32245484050337,3.967077186657265
217,3,0.7222222222222222,1.0,1.0,0.875,3.7809577338063542,5.7178421649718345,4.116175411142265
218,3,0.7222222222222222,1.0,1.0,1.0,3.9743606149880075,5.553836900608294,3.9776923700044184
219,3,0.7222222222222222,1.0,1.0,1.0,3.6608114487981247,4.868072567280837,3.9908498824092877
220,3,0.7222222222222222,,,,,,
221,3,0.7222222222222222,,,,,,
222,3,0.7222222222222222,,,,,,
223,3,0.7222222222222222,0.75,1.0,0.75,3.6166089811087474,5.369676335601323,4.188463052258827
224,3,0.7222222222222222,1.0,1.0,1.0,3.8152710571474993,5.292626019049171,4.044344031678566
